,date,place,species,year,loc_date,location,place_copy,places,places1,rch,rmp,rju,fam,res,pri,inv,ode,ns,ongen,ni,cdf,biel
0,2020-09-02,alleestrasse 1,plantago-lanceolata,1,"('alleestrasse 1', '2020-09-02')",c,alleestrasse 1,alleestrasse-1,allestrasse-madretschkanal-1,LC,LC,LC,Plantaginaceae,X,X,X,X,X,X,X,cdf,biel
1,2020-09-02,alleestrasse 1,centaurea-jacea,1,"('alleestrasse 1', '2020-09-02')",c,alleestrasse 1,alleestrasse-1,allestrasse-madretschkanal-1,LC,LC,LC,Asteraceae,2.0,3.0,X,X,X,X,X,cdf,biel
2,2020-09-02,alleestrasse 1,plantago-media,1,"('alleestrasse 1', '2020-09-02')",c,alleestrasse 1,alleestrasse-1,allestrasse-madretschkanal-1,LC,LC,LC,Plantaginaceae,X,X,X,X,X,X,X,cdf,biel
3,2020-09-02,alleestrasse 1,chenopodium-album,1,"('alleestrasse 1', '2020-09-02')",c,alleestrasse 1,alleestrasse-1,allestrasse-madretschkanal-1,LC,LC,LC,Amaranthaceae,X,X,X,X,X,X,X,cdf,biel
4,2020-09-02,alleestrasse 1,centaurea-jacea,1,"('alleestrasse 1', '2020-09-02')",c,alleestrasse 1,alleestrasse-1,allestrasse-madretschkanal-1,LC,LC,LC,Asteraceae,2.0,3.0,X,X,X,X,X,cdf,biel
5,2020-09-02,alleestrasse 1,veronica-persica,1,"('alleestrasse 1', '2020-09-02')",c,alleestrasse 1,alleestrasse-1,allestrasse-madretschkanal-1,X,X,X,X,X,X,X,X,X,X,ni,cdf,biel
6,2020-09-02,alleestrasse 1,geranium-pyrenaicum,1,"('alleestrasse 1', '2020-09-02')",c,alleestrasse 1,alleestrasse-1,allestrasse-madretschkanal-1,LC,LC,LC,Geraniaceae,X,X,X,X,X,X,X,cdf,biel
7,2020-07-28,alleestrasse 1,centaurea-jacea,1,"('alleestrasse 1', '2020-07-28')",c,alleestrasse 1,alleestrasse-1,allestrasse-madretschkanal-1,LC,LC,LC,Asteraceae,2.0,3.0,X,X,X,X,X,cdf,biel
8,2020-07-28,alleestrasse 1,daucus-carota,1,"('alleestrasse 1', '2020-07-28')",c,alleestrasse 1,alleestrasse-1,allestrasse-madretschkanal-1,LC,LC,LC,Apiaceae,X,X,X,X,X,X,X,cdf,biel
9,2020-07-28,alleestrasse 1,centaurea-jacea,1,"('alleestrasse 1', '2020-07-28')",c,alleestrasse 1,alleestrasse-1,allestrasse-madretschkanal-1,LC,LC,LC,Asteraceae,2.0,3.0,X,X,X,X,X,cdf,biel
10,2020-07-31,alleestrasse 2,mentha-spicata,1,"('alleestrasse 2', '2020-07-31')",b,alleestrasse 2,alleestrasse-2,allestrasse-madretschkanal-1,X,X,X,X,X,X,X,X,X,X,ni,X,X
11,2020-07-31,alleestrasse 2,pastinaca-sativa,1,"('alleestrasse 2', '2020-07-31')",b,alleestrasse 2,alleestrasse-2,allestrasse-madretschkanal-1,LC,LC,LC,Apiaceae,X,X,X,X,X,X,X,X,biel
12,2020-07-31,alleestrasse 2,galium-mollugo,1,"('alleestrasse 2', '2020-07-31')",b,alleestrasse 2,alleestrasse-2,allestrasse-madretschkanal-1,LC,DD,DD,Rubiaceae,X,X,X,X,X,X,X,cdf,biel
13,2020-07-31,alleestrasse 2,trifolium-pratense,1,"('alleestrasse 2', '2020-07-31')",b,alleestrasse 2,alleestrasse-2,allestrasse-madretschkanal-1,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel
14,2020-07-31,alleestrasse 2,daucus-carota,1,"('alleestrasse 2', '2020-07-31')",b,alleestrasse 2,alleestrasse-2,allestrasse-madretschkanal-1,LC,LC,LC,Apiaceae,X,X,X,X,X,X,X,cdf,biel
15,16.06.2020,alleestrasse 3,achillea-millefolium,1,"('alleestrasse 3', '16.06.2020')",c,alleestrasse 3,alleestrasse-3,allestrasse-madretschkanal-2,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel
16,16.06.2020,alleestrasse 3,sedum-album,1,"('alleestrasse 3', '16.06.2020')",c,alleestrasse 3,alleestrasse-3,allestrasse-madretschkanal-2,LC,LC,LC,Crassulaceae,X,X,X,X,X,X,X,cdf,biel
17,16.06.2020,alleestrasse 3,chaerophyllum-hirsutum,1,"('alleestrasse 3', '16.06.2020')",c,alleestrasse 3,alleestrasse-3,allestrasse-madretschkanal-2,LC,LC,LC,Apiaceae,X,X,X,X,X,X,X,cdf,biel
18,16.06.2020,alleestrasse 3,erigeron-annuus,1,"('alleestrasse 3', '16.06.2020')",c,alleestrasse 3,alleestrasse-3,allestrasse-madretschkanal-2,X,X,X,X,X,X,BL,X,X,X,X,cdf,biel
19,2020-07-31,alleestrasse 3,epilobium-hirsutum,1,"('alleestrasse 3', '2020-07-31')",a,alleestrasse 3,alleestrasse-3,allestrasse-madretschkanal-2,LC,LC,LC,Onagraceae,X,X,X,X,X,X,X,cdf,biel
20,06.06.2020,alleestrasse 4,verbascum-thapsus,1,"('alleestrasse 4', '06.06.2020')",b,alleestrasse 4,alleestrasse-4,allestrasse-madretschkanal-3,LC,LC,LC,Scrophulariaceae,X,X,X,X,X,X,X,X,biel
21,16.06.2020,alleestrasse 4,trifolium-pratense,1,"('alleestrasse 4', '16.06.2020')",a,alleestrasse 4,alleestrasse-4,allestrasse-madretschkanal-3,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel
22,06.06.2020,alleestrasse 4,silene-pratensis,1,"('alleestrasse 4', '06.06.2020')",b,alleestrasse 4,alleestrasse-4,allestrasse-madretschkanal-3,LC,LC,LC,Caryophyllaceae,X,X,X,X,X,X,X,X,biel
23,06.06.2020,alleestrasse 4,silene-dichotoma,1,"('alleestrasse 4', '06.06.2020')",b,alleestrasse 4,alleestrasse-4,allestrasse-madretschkanal-3,X,X,X,X,X,X,X,X,X,X,ni,X,X
24,11.07.2020,alleestrasse 4,verbena-bonariensis,1,"('alleestrasse 4', '11.07.2020')",c,alleestrasse 4,alleestrasse-4,allestrasse-madretschkanal-3,X,X,X,X,X,X,X,X,X,X,ni,X,X
25,16.06.2020,alleestrasse 4,achillea-millefolium,1,"('alleestrasse 4', '16.06.2020')",a,alleestrasse 4,alleestrasse-4,allestrasse-madretschkanal-3,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel
26,2020-08-13,bluets 1,clinopodium-vulgare,1,"('bluets 1', '2020-08-13')",a,bluets 1,bluets-1,schuessinsel-kanal-2,LC,LC,LC,Lamiaceae,X,X,X,X,X,X,X,cdf,biel
27,2020-08-13,bluets 1,centaurea-jacea,1,"('bluets 1', '2020-08-13')",a,bluets 1,bluets-1,schuessinsel-kanal-2,LC,LC,LC,Asteraceae,2.0,3.0,X,X,X,X,X,cdf,biel
28,2020-08-13,bluets 1,centaurea-jacea,1,"('bluets 1', '2020-08-13')",a,bluets 1,bluets-1,schuessinsel-kanal-2,LC,LC,LC,Asteraceae,2.0,3.0,X,X,X,X,X,cdf,biel
