date,place,species,year,loc_date
2020-09-02,alleestrasse 1,plantago-lanceolata,1,"('alleestrasse 1', '2020-09-02')"
2020-09-02,alleestrasse 1,centaurea-nigra,1,"('alleestrasse 1', '2020-09-02')"
2020-09-02,alleestrasse 1,plantago-media,1,"('alleestrasse 1', '2020-09-02')"
2020-09-02,alleestrasse 1,chenopodium-album,1,"('alleestrasse 1', '2020-09-02')"
2020-09-02,alleestrasse 1,centaurea-jacea,1,"('alleestrasse 1', '2020-09-02')"
2020-09-02,alleestrasse 1,veronica-persica,1,"('alleestrasse 1', '2020-09-02')"
2020-09-02,alleestrasse 1,geranium-pyrenaicum,1,"('alleestrasse 1', '2020-09-02')"
2020-07-28,alleestrasse 1,centaurea-jacea,1,"('alleestrasse 1', '2020-07-28')"
2020-07-28,alleestrasse 1,daucus-carota,1,"('alleestrasse 1', '2020-07-28')"
2020-07-28,alleestrasse 1,centaurea-jacea,1,"('alleestrasse 1', '2020-07-28')"
2020-07-31,alleestrasse 2,mentha-spicata,1,"('alleestrasse 2', '2020-07-31')"
2020-07-31,alleestrasse 2,pastinaca-sativa,1,"('alleestrasse 2', '2020-07-31')"
2020-07-31,alleestrasse 2,galium-mollugo,1,"('alleestrasse 2', '2020-07-31')"
2020-07-31,alleestrasse 2,trifolium-pratense,1,"('alleestrasse 2', '2020-07-31')"
2020-07-31,alleestrasse 2,daucus-carota,1,"('alleestrasse 2', '2020-07-31')"
16.06.2020,alleestrasse 3,achillea-millefolium,1,"('alleestrasse 3', '16.06.2020')"
16.06.2020,alleestrasse 3,sedum-album,1,"('alleestrasse 3', '16.06.2020')"
16.06.2020,alleestrasse 3,chaerophyllum-hirsutum,1,"('alleestrasse 3', '16.06.2020')"
16.06.2020,alleestrasse 3,erigeron-annuus,1,"('alleestrasse 3', '16.06.2020')"
2020-07-31,alleestrasse 3,epilobium-hirsutum,1,"('alleestrasse 3', '2020-07-31')"
06.06.2020,alleestrasse 4,verbascum-thapsus,1,"('alleestrasse 4', '06.06.2020')"
16.06.2020,alleestrasse 4,trifolium-pratense,1,"('alleestrasse 4', '16.06.2020')"
06.06.2020,alleestrasse 4,silene-latifolia,1,"('alleestrasse 4', '06.06.2020')"
06.06.2020,alleestrasse 4,silene-dichotoma,1,"('alleestrasse 4', '06.06.2020')"
11.07.2020,alleestrasse 4,verbanum-bonariensis,1,"('alleestrasse 4', '11.07.2020')"
16.06.2020,alleestrasse 4,achillea-millefolium,1,"('alleestrasse 4', '16.06.2020')"
2020-08-13,bluets 1,clinopodium-vulgare,1,"('bluets 1', '2020-08-13')"
2020-08-13,bluets 1,centaurea-jacea,1,"('bluets 1', '2020-08-13')"
2020-08-13,bluets 1,centaurea-jacea,1,"('bluets 1', '2020-08-13')"
2020-08-13,bluets 1,scabiosa-columbaria,1,"('bluets 1', '2020-08-13')"
2020-08-13,bluets 1,silene-latifolia,1,"('bluets 1', '2020-08-13')"
2020-08-13,bluets 1,trifolium-pratense,1,"('bluets 1', '2020-08-13')"
2020-08-13,bluets 1,trifolium-repens,1,"('bluets 1', '2020-08-13')"
2020-08-13,bluets 1,silene-vulgaris,1,"('bluets 1', '2020-08-13')"
2020-08-13,bluets 1,silene-latifolia,1,"('bluets 1', '2020-08-13')"
2020-08-13,bluets 1,epilobium-hirsutum,1,"('bluets 1', '2020-08-13')"
2020-08-13,bluets 1,crepis-capillaris,1,"('bluets 1', '2020-08-13')"
2020-08-13,bluets 1,melilotus-albus,1,"('bluets 1', '2020-08-13')"
2020-08-13,bluets 1,erigeron-annuus,1,"('bluets 1', '2020-08-13')"
2020-08-13,bluets 1,veronica-persica,1,"('bluets 1', '2020-08-13')"
2020-08-13,bluets 1,malva-neglecta,1,"('bluets 1', '2020-08-13')"
2020-08-13,bluets 1,cirsium-arvense,1,"('bluets 1', '2020-08-13')"
2020-08-13,bluets 1,calystegia-sepium,1,"('bluets 1', '2020-08-13')"
2020-08-13,bluets 1,galium-mollugo,1,"('bluets 1', '2020-08-13')"
2020-08-13,bluets 1,brassica-napus,1,"('bluets 1', '2020-08-13')"
2020-08-13,bluets 1,silene-latifolia,1,"('bluets 1', '2020-08-13')"
2020-08-13,bluets 1,lotus-corniculatus,1,"('bluets 1', '2020-08-13')"
2020-08-13,bluets 1,trifolium-pratense,1,"('bluets 1', '2020-08-13')"
2020-08-13,bluets 1,medicago-varia,1,"('bluets 1', '2020-08-13')"
10.07.2020,bluets 2,hypericum-perforatum,1,"('bluets 2', '10.07.2020')"
12.06.2020,bluets 2,tragopogon-pratensis,1,"('bluets 2', '12.06.2020')"
12.06.2020,bluets 2,geranium-pyrenaicum,1,"('bluets 2', '12.06.2020')"
12.06.2020,bluets 2,knautia-arvensis,1,"('bluets 2', '12.06.2020')"
12.06.2020,bluets 2,centaurea-jacea,1,"('bluets 2', '12.06.2020')"
12.06.2020,bluets 2,galium-mollugo,1,"('bluets 2', '12.06.2020')"
12.06.2020,bluets 2,leucanthemum-vulgare,1,"('bluets 2', '12.06.2020')"
12.06.2020,bluets 2,vicia-sepium,1,"('bluets 2', '12.06.2020')"
28.06.2020,bluets 3,tragopogon-pratensis,1,"('bluets 3', '28.06.2020')"
28.06.2020,bluets 3,senecio-inaequidens,1,"('bluets 3', '28.06.2020')"
28.06.2020,bluets 3,knautia-arvensis,1,"('bluets 3', '28.06.2020')"
28.06.2020,bluets 3,medicago-sativa,1,"('bluets 3', '28.06.2020')"
28.06.2020,bluets 3,dianthus-carthusianorum,1,"('bluets 3', '28.06.2020')"
28.06.2020,bluets 3,mentha-longifolia,1,"('bluets 3', '28.06.2020')"
28.06.2020,bluets 3,lapsana-communis,1,"('bluets 3', '28.06.2020')"
28.06.2020,bluets 3,galium-mollugo,1,"('bluets 3', '28.06.2020')"
28.06.2020,bluets 3,erigeron-annuus,1,"('bluets 3', '28.06.2020')"
09.06.2020,boujean 1,medicago-lupulina,1,"('boujean 1', '09.06.2020')"
09.06.2020,boujean 1,cichorium-intybus,1,"('boujean 1', '09.06.2020')"
09.06.2020,boujean 1,potentilla-reptans,1,"('boujean 1', '09.06.2020')"
09.06.2020,boujean 2,papaver-rhoeas,1,"('boujean 2', '09.06.2020')"
09.06.2020,boujean 2,hypericum-maculatum,1,"('boujean 2', '09.06.2020')"
09.06.2020,boujean 2,trifolium-pratense,1,"('boujean 2', '09.06.2020')"
09.06.2020,boujean 2,erigeron-annuus,1,"('boujean 2', '09.06.2020')"
09.06.2020,boujean 2,medicago-lupulina,1,"('boujean 2', '09.06.2020')"
18.06.2020,boujean 2,medicago-lupulina,1,"('boujean 2', '18.06.2020')"
18.06.2020,boujean 2,arenaria-serpyllifolia,1,"('boujean 2', '18.06.2020')"
18.06.2020,boujean 2,crepis-capillaris,1,"('boujean 2', '18.06.2020')"
18.06.2020,boujean 2,clinopodium-acinos,1,"('boujean 2', '18.06.2020')"
18.06.2020,boujean 3,trifolium-pratense,1,"('boujean 3', '18.06.2020')"
18.06.2020,boujean 3,crepis-capillaris,1,"('boujean 3', '18.06.2020')"
18.06.2020,boujean 3,potentilla-reptans,1,"('boujean 3', '18.06.2020')"
18.06.2020,boujean 3,senecio-inaequidens,1,"('boujean 3', '18.06.2020')"
18.06.2020,boujean 3,cichorium-intybus,1,"('boujean 3', '18.06.2020')"
18.06.2020,boujean 3,erigeron-annuus,1,"('boujean 3', '18.06.2020')"
2020-09-03,buren 1,lavandula-angustifolia,1,"('buren 1', '2020-09-03')"
2020-09-03,buren 1,eupatorium-cannabinum,1,"('buren 1', '2020-09-03')"
2020-09-03,buren 1,cichorium-intybus,1,"('buren 1', '2020-09-03')"
2020-09-03,buren 1,vicia-sepium,1,"('buren 1', '2020-09-03')"
2020-09-03,buren 1,trifolium-pratense,1,"('buren 1', '2020-09-03')"
2020-09-03,buren 1,lotus-corniculatus,1,"('buren 1', '2020-09-03')"
2020-09-03,buren 1,solidago-canadensis,1,"('buren 1', '2020-09-03')"
2020-09-03,buren 1,hypericum-perforatum,1,"('buren 1', '2020-09-03')"
2020-09-03,buren 1,senecio-inaequidens,1,"('buren 1', '2020-09-03')"
2020-09-03,buren 1,hypericum-perforatum,1,"('buren 1', '2020-09-03')"
2020-09-03,buren 1,epilobium-dodonaei,1,"('buren 1', '2020-09-03')"
2020-09-03,buren 1,daucus-carota,1,"('buren 1', '2020-09-03')"
2020-09-03,buren 1,erigeron-annuus,1,"('buren 1', '2020-09-03')"
